field,service,validation,component,action,complexity
0,1,0,2,1,VerySimple
0,1,0,3,1,VerySimple
1,1,0,2,1,VerySimple
1,1,0,3,1,VerySimple
3,2,1,4,1,Simple
3,2,2,4,1,Simple
3,2,3,4,1,Simple
3,2,4,4,1,Simple
3,2,5,4,1,Simple
3,2,6,4,1,Simple
3,2,7,4,1,Simple
3,2,8,4,1,Simple
3,2,9,4,1,Simple
3,2,10,4,1,Simple
4,2,1,4,1,Simple
4,2,2,4,1,Simple
4,2,3,4,1,Simple
4,2,4,4,1,Simple
4,2,5,4,1,Simple
4,2,6,4,1,Simple
4,2,7,4,1,Simple
4,2,8,4,1,Simple
4,2,9,4,1,Simple
4,2,10,4,1,Simple
5,2,1,4,1,Simple
5,2,2,4,1,Simple
5,2,3,4,1,Simple
5,2,4,4,1,Simple
5,2,5,4,1,Simple
5,2,6,4,1,Simple
5,2,7,4,1,Simple
5,2,8,4,1,Simple
5,2,9,4,1,Simple
5,2,10,4,1,Simple
6,2,1,4,1,Simple
6,2,2,4,1,Simple
6,2,3,4,1,Simple
6,2,4,4,1,Simple
6,2,5,4,1,Simple
6,2,6,4,1,Simple
6,2,7,4,1,Simple
6,2,8,4,1,Simple
6,2,9,4,1,Simple
6,2,10,4,1,Simple
7,2,1,4,1,Simple
7,2,2,4,1,Simple
7,2,3,4,1,Simple
7,2,4,4,1,Simple
7,2,5,4,1,Simple
7,2,6,4,1,Simple
7,2,7,4,1,Simple
7,2,8,4,1,Simple
7,2,9,4,1,Simple
7,2,10,4,1,Simple
8,2,1,4,1,Simple
8,2,2,4,1,Simple
8,2,3,4,1,Simple
8,2,4,4,1,Simple
8,2,5,4,1,Simple
8,2,6,4,1,Simple
8,2,7,4,1,Simple
8,2,8,4,1,Simple
8,2,9,4,1,Simple
8,2,10,4,1,Simple
9,2,1,4,1,Simple
9,2,2,4,1,Simple
9,2,3,4,1,Simple
9,2,4,4,1,Simple
9,2,5,4,1,Simple
9,2,6,4,1,Simple
9,2,7,4,1,Simple
9,2,8,4,1,Simple
9,2,9,4,1,Simple
9,2,10,4,1,Simple
10,2,1,4,1,Simple
10,2,2,4,1,Simple
10,2,3,4,1,Simple
10,2,4,4,1,Simple
10,2,5,4,1,Simple
10,2,6,4,1,Simple
10,2,7,4,1,Simple
10,2,8,4,1,Simple
10,2,9,4,1,Simple
10,2,10,4,1,Simple
11,3,11,5,1,SimpleMedium
11,3,11,6,1,SimpleMedium
11,3,12,5,1,SimpleMedium
11,3,12,6,1,SimpleMedium
11,3,13,5,1,SimpleMedium
11,3,13,6,1,SimpleMedium
11,3,14,5,1,SimpleMedium
11,3,14,6,1,SimpleMedium
11,3,15,5,1,SimpleMedium
11,3,15,6,1,SimpleMedium
11,3,16,5,1,SimpleMedium
11,3,16,6,1,SimpleMedium
11,3,17,5,1,SimpleMedium
11,3,17,6,1,SimpleMedium
11,3,18,5,1,SimpleMedium
11,3,18,6,1,SimpleMedium
11,3,19,5,1,SimpleMedium
11,3,19,6,1,SimpleMedium
11,3,20,5,1,SimpleMedium
11,3,20,6,1,SimpleMedium
11,4,11,5,1,SimpleMedium
11,4,11,6,1,SimpleMedium
11,4,12,5,1,SimpleMedium
11,4,12,6,1,SimpleMedium
11,4,13,5,1,SimpleMedium
11,4,13,6,1,SimpleMedium
11,4,14,5,1,SimpleMedium
11,4,14,6,1,SimpleMedium
11,4,15,5,1,SimpleMedium
11,4,15,6,1,SimpleMedium
11,4,16,5,1,SimpleMedium
11,4,16,6,1,SimpleMedium
11,4,17,5,1,SimpleMedium
11,4,17,6,1,SimpleMedium
11,4,18,5,1,SimpleMedium
11,4,18,6,1,SimpleMedium
11,4,19,5,1,SimpleMedium
11,4,19,6,1,SimpleMedium
11,4,20,5,1,SimpleMedium
11,4,20,6,1,SimpleMedium
11,5,11,5,1,SimpleMedium
11,5,11,6,1,SimpleMedium
11,5,12,5,1,SimpleMedium
11,5,12,6,1,SimpleMedium
11,5,13,5,1,SimpleMedium
11,5,13,6,1,SimpleMedium
11,5,14,5,1,SimpleMedium
11,5,14,6,1,SimpleMedium
11,5,15,5,1,SimpleMedium
11,5,15,6,1,SimpleMedium
11,5,16,5,1,SimpleMedium
11,5,16,6,1,SimpleMedium
11,5,17,5,1,SimpleMedium
11,5,17,6,1,SimpleMedium
11,5,18,5,1,SimpleMedium
11,5,18,6,1,SimpleMedium
11,5,19,5,1,SimpleMedium
11,5,19,6,1,SimpleMedium
11,5,20,5,1,SimpleMedium
11,5,20,6,1,SimpleMedium
12,3,11,5,1,SimpleMedium
12,3,11,6,1,SimpleMedium
12,3,12,5,1,SimpleMedium
12,3,12,6,1,SimpleMedium
12,3,13,5,1,SimpleMedium
12,3,13,6,1,SimpleMedium
12,3,14,5,1,SimpleMedium
12,3,14,6,1,SimpleMedium
12,3,15,5,1,SimpleMedium
12,3,15,6,1,SimpleMedium
12,3,16,5,1,SimpleMedium
12,3,16,6,1,SimpleMedium
12,3,17,5,1,SimpleMedium
12,3,17,6,1,SimpleMedium
12,3,18,5,1,SimpleMedium
12,3,18,6,1,SimpleMedium
12,3,19,5,1,SimpleMedium
12,3,19,6,1,SimpleMedium
12,3,20,5,1,SimpleMedium
12,3,20,6,1,SimpleMedium
12,4,11,5,1,SimpleMedium
12,4,11,6,1,SimpleMedium
12,4,12,5,1,SimpleMedium
12,4,12,6,1,SimpleMedium
12,4,13,5,1,SimpleMedium
12,4,13,6,1,SimpleMedium
12,4,14,5,1,SimpleMedium
12,4,14,6,1,SimpleMedium
12,4,15,5,1,SimpleMedium
12,4,15,6,1,SimpleMedium
12,4,16,5,1,SimpleMedium
12,4,16,6,1,SimpleMedium
12,4,17,5,1,SimpleMedium
12,4,17,6,1,SimpleMedium
12,4,18,5,1,SimpleMedium
12,4,18,6,1,SimpleMedium
12,4,19,5,1,SimpleMedium
12,4,19,6,1,SimpleMedium
12,4,20,5,1,SimpleMedium
12,4,20,6,1,SimpleMedium
12,5,11,5,1,SimpleMedium
12,5,11,6,1,SimpleMedium
12,5,12,5,1,SimpleMedium
12,5,12,6,1,SimpleMedium
12,5,13,5,1,SimpleMedium
12,5,13,6,1,SimpleMedium
12,5,14,5,1,SimpleMedium
12,5,14,6,1,SimpleMedium
12,5,15,5,1,SimpleMedium
12,5,15,6,1,SimpleMedium
12,5,16,5,1,SimpleMedium
12,5,16,6,1,SimpleMedium
12,5,17,5,1,SimpleMedium
12,5,17,6,1,SimpleMedium
12,5,18,5,1,SimpleMedium
12,5,18,6,1,SimpleMedium
12,5,19,5,1,SimpleMedium
12,5,19,6,1,SimpleMedium
12,5,20,5,1,SimpleMedium
12,5,20,6,1,SimpleMedium
13,3,11,5,1,SimpleMedium
13,3,11,6,1,SimpleMedium
13,3,12,5,1,SimpleMedium
13,3,12,6,1,SimpleMedium
13,3,13,5,1,SimpleMedium
13,3,13,6,1,SimpleMedium
13,3,14,5,1,SimpleMedium
13,3,14,6,1,SimpleMedium
13,3,15,5,1,SimpleMedium
13,3,15,6,1,SimpleMedium
13,3,16,5,1,SimpleMedium
13,3,16,6,1,SimpleMedium
13,3,17,5,1,SimpleMedium
13,3,17,6,1,SimpleMedium
13,3,18,5,1,SimpleMedium
13,3,18,6,1,SimpleMedium
13,3,19,5,1,SimpleMedium
13,3,19,6,1,SimpleMedium
13,3,20,5,1,SimpleMedium
